SMControlTest.control.reset_state[3:0],SMControlTest.control.start,SMControlTest.control.mr[3:0],SMControlTest.control.s[3:0],SMControlTest.control.rsclear,SMControlTest.control.mdld,SMControlTest.control.mrld,SMControlTest.control.rsload,SMControlTest.control.rsshr,SMControlTest.control.rst,SMControlTest.control.clk,SMControlTest.control.n[3:0]
0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,1,1,1
0,1,0,1,1,1,1,0,0,0,1,10
0,1,0,1,1,1,1,0,0,0,0,10
0,1,0,1,1,1,1,0,0,0,0,10
0,1,1,1,1,1,1,0,0,0,0,10
0,0,1,1,1,1,1,0,0,0,0,10
0,0,1,1,1,1,1,0,0,1,0,10
0,0,1,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,0,0,0,1,0,1
0,1,1,0,0,0,0,0,0,1,1,1
0,1,1,1,1,1,1,0,0,0,1,10
0,1,1,1,1,1,1,0,0,0,0,10
0,1,1,1,1,1,1,0,0,0,0,10
0,1,10,1,1,1,1,0,0,0,0,10
0,0,10,1,1,1,1,0,0,0,0,10
0,0,10,1,1,1,1,0,0,1,0,10
0,0,10,0,0,0,0,0,0,1,1,0
0,0,10,0,0,0,0,0,0,1,0,0
0,0,10,0,0,0,0,0,0,0,0,0
0,0,10,0,0,0,0,0,0,0,1,0
0,0,10,0,0,0,0,0,0,0,0,0
0,1,10,0,0,0,0,0,0,0,0,1
0,1,10,0,0,0,0,0,0,1,0,1
0,1,10,0,0,0,0,0,0,1,1,1
0,1,10,1,1,1,1,0,0,0,1,10
0,1,10,1,1,1,1,0,0,0,0,10
0,1,10,1,1,1,1,0,0,0,0,10
0,1,11,1,1,1,1,0,0,0,0,10
0,0,11,1,1,1,1,0,0,0,0,10
0,0,11,1,1,1,1,0,0,1,0,10
0,0,11,0,0,0,0,0,0,1,1,0
0,0,11,0,0,0,0,0,0,1,0,0
0,0,11,0,0,0,0,0,0,0,0,0
0,0,11,0,0,0,0,0,0,0,1,0
0,0,11,0,0,0,0,0,0,0,0,0
0,1,11,0,0,0,0,0,0,0,0,1
0,1,11,0,0,0,0,0,0,1,0,1
0,1,11,0,0,0,0,0,0,1,1,1
0,1,11,1,1,1,1,0,0,0,1,10
0,1,11,1,1,1,1,0,0,0,0,10
0,1,11,1,1,1,1,0,0,0,0,10
0,1,100,1,1,1,1,0,0,0,0,10
0,0,100,1,1,1,1,0,0,0,0,10
0,0,100,1,1,1,1,0,0,1,0,10
0,0,100,0,0,0,0,0,0,1,1,0
0,0,100,0,0,0,0,0,0,1,0,0
0,0,100,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,0,0,1,0
0,0,100,0,0,0,0,0,0,0,0,0
0,1,100,0,0,0,0,0,0,0,0,1
0,1,100,0,0,0,0,0,0,1,0,1
0,1,100,0,0,0,0,0,0,1,1,1
0,1,100,1,1,1,1,0,0,0,1,10
0,1,100,1,1,1,1,0,0,0,0,10
0,1,100,1,1,1,1,0,0,0,0,10
0,1,101,1,1,1,1,0,0,0,0,10
0,0,101,1,1,1,1,0,0,0,0,10
0,0,101,1,1,1,1,0,0,1,0,10
0,0,101,0,0,0,0,0,0,1,1,0
0,0,101,0,0,0,0,0,0,1,0,0
0,0,101,0,0,0,0,0,0,0,0,0
0,0,101,0,0,0,0,0,0,0,1,0
0,0,101,0,0,0,0,0,0,0,0,0
0,1,101,0,0,0,0,0,0,0,0,1
0,1,101,0,0,0,0,0,0,1,0,1
0,1,101,0,0,0,0,0,0,1,1,1
0,1,101,1,1,1,1,0,0,0,1,10
0,1,101,1,1,1,1,0,0,0,0,10
0,1,101,1,1,1,1,0,0,0,0,10
0,1,110,1,1,1,1,0,0,0,0,10
0,0,110,1,1,1,1,0,0,0,0,10
0,0,110,1,1,1,1,0,0,1,0,10
0,0,110,0,0,0,0,0,0,1,1,0
0,0,110,0,0,0,0,0,0,1,0,0
0,0,110,0,0,0,0,0,0,0,0,0
0,0,110,0,0,0,0,0,0,0,1,0
0,0,110,0,0,0,0,0,0,0,0,0
0,1,110,0,0,0,0,0,0,0,0,1
0,1,110,0,0,0,0,0,0,1,0,1
0,1,110,0,0,0,0,0,0,1,1,1
0,1,110,1,1,1,1,0,0,0,1,10
0,1,110,1,1,1,1,0,0,0,0,10
0,1,110,1,1,1,1,0,0,0,0,10
0,1,111,1,1,1,1,0,0,0,0,10
0,0,111,1,1,1,1,0,0,0,0,10
0,0,111,1,1,1,1,0,0,1,0,10
0,0,111,0,0,0,0,0,0,1,1,0
0,0,111,0,0,0,0,0,0,1,0,0
0,0,111,0,0,0,0,0,0,0,0,0
0,0,111,0,0,0,0,0,0,0,1,0
0,0,111,0,0,0,0,0,0,0,0,0
0,1,111,0,0,0,0,0,0,0,0,1
0,1,111,0,0,0,0,0,0,1,0,1
0,1,111,0,0,0,0,0,0,1,1,1
0,1,111,1,1,1,1,0,0,0,1,10
0,1,111,1,1,1,1,0,0,0,0,10
0,1,111,1,1,1,1,0,0,0,0,10
0,1,1000,1,1,1,1,0,0,0,0,10
0,0,1000,1,1,1,1,0,0,0,0,10
0,0,1000,1,1,1,1,0,0,1,0,10
0,0,1000,0,0,0,0,0,0,1,1,0
0,0,1000,0,0,0,0,0,0,1,0,0
0,0,1000,0,0,0,0,0,0,0,0,0
0,0,1000,0,0,0,0,0,0,0,1,0
0,0,1000,0,0,0,0,0,0,0,0,0
0,1,1000,0,0,0,0,0,0,0,0,1
0,1,1000,0,0,0,0,0,0,1,0,1
0,1,1000,0,0,0,0,0,0,1,1,1
0,1,1000,1,1,1,1,0,0,0,1,10
0,1,1000,1,1,1,1,0,0,0,0,10
0,1,1000,1,1,1,1,0,0,0,0,10
0,1,1001,1,1,1,1,0,0,0,0,10
0,0,1001,1,1,1,1,0,0,0,0,10
0,0,1001,1,1,1,1,0,0,1,0,10
0,0,1001,0,0,0,0,0,0,1,1,0
0,0,1001,0,0,0,0,0,0,1,0,0
0,0,1001,0,0,0,0,0,0,0,0,0
0,0,1001,0,0,0,0,0,0,0,1,0
0,0,1001,0,0,0,0,0,0,0,0,0
0,1,1001,0,0,0,0,0,0,0,0,1
0,1,1001,0,0,0,0,0,0,1,0,1
0,1,1001,0,0,0,0,0,0,1,1,1
0,1,1001,1,1,1,1,0,0,0,1,10
0,1,1001,1,1,1,1,0,0,0,0,10
0,1,1001,1,1,1,1,0,0,0,0,10
0,1,1010,1,1,1,1,0,0,0,0,10
0,0,1010,1,1,1,1,0,0,0,0,10
0,0,1010,1,1,1,1,0,0,1,0,10
0,0,1010,0,0,0,0,0,0,1,1,0
0,0,1010,0,0,0,0,0,0,1,0,0
0,0,1010,0,0,0,0,0,0,0,0,0
0,0,1010,0,0,0,0,0,0,0,1,0
0,0,1010,0,0,0,0,0,0,0,0,0
0,1,1010,0,0,0,0,0,0,0,0,1
0,1,1010,0,0,0,0,0,0,1,0,1
0,1,1010,0,0,0,0,0,0,1,1,1
0,1,1010,1,1,1,1,0,0,0,1,10
0,1,1010,1,1,1,1,0,0,0,0,10
0,1,1010,1,1,1,1,0,0,0,0,10
0,1,1011,1,1,1,1,0,0,0,0,10
0,0,1011,1,1,1,1,0,0,0,0,10
0,0,1011,1,1,1,1,0,0,1,0,10
0,0,1011,0,0,0,0,0,0,1,1,0
0,0,1011,0,0,0,0,0,0,1,0,0
0,0,1011,0,0,0,0,0,0,0,0,0
0,0,1011,0,0,0,0,0,0,0,1,0
0,0,1011,0,0,0,0,0,0,0,0,0
0,1,1011,0,0,0,0,0,0,0,0,1
0,1,1011,0,0,0,0,0,0,1,0,1
0,1,1011,0,0,0,0,0,0,1,1,1
0,1,1011,1,1,1,1,0,0,0,1,10
0,1,1011,1,1,1,1,0,0,0,0,10
0,1,1011,1,1,1,1,0,0,0,0,10
0,1,1100,1,1,1,1,0,0,0,0,10
0,0,1100,1,1,1,1,0,0,0,0,10
0,0,1100,1,1,1,1,0,0,1,0,10
0,0,1100,0,0,0,0,0,0,1,1,0
0,0,1100,0,0,0,0,0,0,1,0,0
0,0,1100,0,0,0,0,0,0,0,0,0
0,0,1100,0,0,0,0,0,0,0,1,0
0,0,1100,0,0,0,0,0,0,0,0,0
0,1,1100,0,0,0,0,0,0,0,0,1
0,1,1100,0,0,0,0,0,0,1,0,1
0,1,1100,0,0,0,0,0,0,1,1,1
0,1,1100,1,1,1,1,0,0,0,1,10
0,1,1100,1,1,1,1,0,0,0,0,10
0,1,1100,1,1,1,1,0,0,0,0,10
0,1,1101,1,1,1,1,0,0,0,0,10
0,0,1101,1,1,1,1,0,0,0,0,10
0,0,1101,1,1,1,1,0,0,1,0,10
0,0,1101,0,0,0,0,0,0,1,1,0
0,0,1101,0,0,0,0,0,0,1,0,0
0,0,1101,0,0,0,0,0,0,0,0,0
0,0,1101,0,0,0,0,0,0,0,1,0
0,0,1101,0,0,0,0,0,0,0,0,0
0,1,1101,0,0,0,0,0,0,0,0,1
0,1,1101,0,0,0,0,0,0,1,0,1
0,1,1101,0,0,0,0,0,0,1,1,1
0,1,1101,1,1,1,1,0,0,0,1,10
0,1,1101,1,1,1,1,0,0,0,0,10
0,1,1101,1,1,1,1,0,0,0,0,10
0,1,1110,1,1,1,1,0,0,0,0,10
0,0,1110,1,1,1,1,0,0,0,0,10
0,0,1110,1,1,1,1,0,0,1,0,10
0,0,1110,0,0,0,0,0,0,1,1,0
0,0,1110,0,0,0,0,0,0,1,0,0
0,0,1110,0,0,0,0,0,0,0,0,0
0,0,1110,0,0,0,0,0,0,0,1,0
0,0,1110,0,0,0,0,0,0,0,0,0
0,1,1110,0,0,0,0,0,0,0,0,1
0,1,1110,0,0,0,0,0,0,1,0,1
0,1,1110,0,0,0,0,0,0,1,1,1
0,1,1110,1,1,1,1,0,0,0,1,10
0,1,1110,1,1,1,1,0,0,0,0,10
0,1,1110,1,1,1,1,0,0,0,0,10
0,1,1111,1,1,1,1,0,0,0,0,10
0,0,1111,1,1,1,1,0,0,0,0,10
0,0,1111,1,1,1,1,0,0,1,0,10
0,0,1111,0,0,0,0,0,0,1,1,0
0,0,1111,0,0,0,0,0,0,1,0,0
0,0,1111,0,0,0,0,0,0,0,0,0
0,0,1111,0,0,0,0,0,0,0,1,0
0,0,1111,0,0,0,0,0,0,0,0,0
0,1,1111,0,0,0,0,0,0,0,0,1
0,1,1111,0,0,0,0,0,0,1,0,1
0,1,1111,0,0,0,0,0,0,1,1,1
0,1,1111,1,1,1,1,0,0,0,1,10
0,1,1111,1,1,1,1,0,0,0,0,10
0,1,1111,1,1,1,1,0,0,0,0,10
1,1,1111,1,1,1,1,0,0,0,0,10
1,1,1111,1,1,1,1,0,0,0,0,10
1,1,0,1,1,1,1,0,0,0,0,10
1,0,0,1,1,1,1,0,0,0,0,10
1,0,0,1,1,1,1,0,0,1,0,10
1,0,0,1,1,1,1,0,0,1,1,10
1,0,0,10,0,0,0,0,0,0,1,111
1,0,0,10,0,0,0,0,0,0,0,111
1,0,0,10,0,0,0,0,0,0,0,111
1,1,0,10,0,0,0,0,0,0,0,111
1,1,0,10,0,0,0,0,0,1,0,111
1,1,0,1,1,1,1,0,0,1,1,10
1,1,0,1,1,1,1,0,0,1,0,10
1,1,0,1,1,1,1,0,0,0,0,10
1,1,0,10,0,0,0,0,0,0,1,111
1,1,0,10,0,0,0,0,0,0,0,111
1,1,1,10,0,0,0,0,0,0,0,111
1,0,1,10,0,0,0,0,0,0,0,111
1,0,1,10,0,0,0,0,0,1,0,111
1,0,1,1,1,1,1,0,0,1,1,10
1,0,1,1,1,1,1,0,0,1,0,10
1,0,1,1,1,1,1,0,0,0,0,10
1,0,1,10,0,0,0,0,0,0,1,111
1,0,1,10,0,0,0,0,0,0,0,111
1,1,1,10,0,0,0,0,0,0,0,111
1,1,1,10,0,0,0,0,0,1,0,111
1,1,1,1,1,1,1,0,0,1,1,10
1,1,1,1,1,1,1,0,0,1,0,10
1,1,1,1,1,1,1,0,0,0,0,10
1,1,1,10,0,0,0,0,0,0,1,111
1,1,1,10,0,0,0,0,0,0,0,111
1,1,10,10,0,0,0,0,0,0,0,111
1,0,10,10,0,0,0,0,0,0,0,111
1,0,10,10,0,0,0,0,0,1,0,111
1,0,10,1,1,1,1,0,0,1,1,10
1,0,10,1,1,1,1,0,0,1,0,10
1,0,10,1,1,1,1,0,0,0,0,10
1,0,10,10,0,0,0,0,0,0,1,111
1,0,10,10,0,0,0,0,0,0,0,111
1,1,10,10,0,0,0,0,0,0,0,111
1,1,10,10,0,0,0,0,0,1,0,111
1,1,10,1,1,1,1,0,0,1,1,10
1,1,10,1,1,1,1,0,0,1,0,10
1,1,10,1,1,1,1,0,0,0,0,10
1,1,10,10,0,0,0,0,0,0,1,111
1,1,10,10,0,0,0,0,0,0,0,111
1,1,11,10,0,0,0,0,0,0,0,111
1,0,11,10,0,0,0,0,0,0,0,111
1,0,11,10,0,0,0,0,0,1,0,111
1,0,11,1,1,1,1,0,0,1,1,10
1,0,11,1,1,1,1,0,0,1,0,10
1,0,11,1,1,1,1,0,0,0,0,10
1,0,11,10,0,0,0,0,0,0,1,111
1,0,11,10,0,0,0,0,0,0,0,111
1,1,11,10,0,0,0,0,0,0,0,111
1,1,11,10,0,0,0,0,0,1,0,111
1,1,11,1,1,1,1,0,0,1,1,10
1,1,11,1,1,1,1,0,0,1,0,10
1,1,11,1,1,1,1,0,0,0,0,10
1,1,11,10,0,0,0,0,0,0,1,111
1,1,11,10,0,0,0,0,0,0,0,111
1,1,100,10,0,0,0,0,0,0,0,111
1,0,100,10,0,0,0,0,0,0,0,111
1,0,100,10,0,0,0,0,0,1,0,111
1,0,100,1,1,1,1,0,0,1,1,10
1,0,100,1,1,1,1,0,0,1,0,10
1,0,100,1,1,1,1,0,0,0,0,10
1,0,100,10,0,0,0,0,0,0,1,111
1,0,100,10,0,0,0,0,0,0,0,111
1,1,100,10,0,0,0,0,0,0,0,111
1,1,100,10,0,0,0,0,0,1,0,111
1,1,100,1,1,1,1,0,0,1,1,10
1,1,100,1,1,1,1,0,0,1,0,10
1,1,100,1,1,1,1,0,0,0,0,10
1,1,100,10,0,0,0,0,0,0,1,111
1,1,100,10,0,0,0,0,0,0,0,111
1,1,101,10,0,0,0,0,0,0,0,111
1,0,101,10,0,0,0,0,0,0,0,111
1,0,101,10,0,0,0,0,0,1,0,111
1,0,101,1,1,1,1,0,0,1,1,10
1,0,101,1,1,1,1,0,0,1,0,10
1,0,101,1,1,1,1,0,0,0,0,10
1,0,101,10,0,0,0,0,0,0,1,111
1,0,101,10,0,0,0,0,0,0,0,111
1,1,101,10,0,0,0,0,0,0,0,111
1,1,101,10,0,0,0,0,0,1,0,111
1,1,101,1,1,1,1,0,0,1,1,10
1,1,101,1,1,1,1,0,0,1,0,10
1,1,101,1,1,1,1,0,0,0,0,10
1,1,101,10,0,0,0,0,0,0,1,111
1,1,101,10,0,0,0,0,0,0,0,111
1,1,110,10,0,0,0,0,0,0,0,111
1,0,110,10,0,0,0,0,0,0,0,111
1,0,110,10,0,0,0,0,0,1,0,111
1,0,110,1,1,1,1,0,0,1,1,10
1,0,110,1,1,1,1,0,0,1,0,10
1,0,110,1,1,1,1,0,0,0,0,10
1,0,110,10,0,0,0,0,0,0,1,111
1,0,110,10,0,0,0,0,0,0,0,111
1,1,110,10,0,0,0,0,0,0,0,111
1,1,110,10,0,0,0,0,0,1,0,111
1,1,110,1,1,1,1,0,0,1,1,10
1,1,110,1,1,1,1,0,0,1,0,10
1,1,110,1,1,1,1,0,0,0,0,10
1,1,110,10,0,0,0,0,0,0,1,111
1,1,110,10,0,0,0,0,0,0,0,111
1,1,111,10,0,0,0,0,0,0,0,111
1,0,111,10,0,0,0,0,0,0,0,111
1,0,111,10,0,0,0,0,0,1,0,111
1,0,111,1,1,1,1,0,0,1,1,10
1,0,111,1,1,1,1,0,0,1,0,10
1,0,111,1,1,1,1,0,0,0,0,10
1,0,111,10,0,0,0,0,0,0,1,111
1,0,111,10,0,0,0,0,0,0,0,111
1,1,111,10,0,0,0,0,0,0,0,111
1,1,111,10,0,0,0,0,0,1,0,111
1,1,111,1,1,1,1,0,0,1,1,10
1,1,111,1,1,1,1,0,0,1,0,10
1,1,111,1,1,1,1,0,0,0,0,10
1,1,111,10,0,0,0,0,0,0,1,111
1,1,111,10,0,0,0,0,0,0,0,111
1,1,1000,10,0,0,0,0,0,0,0,111
1,0,1000,10,0,0,0,0,0,0,0,111
1,0,1000,10,0,0,0,0,0,1,0,111
1,0,1000,1,1,1,1,0,0,1,1,10
1,0,1000,1,1,1,1,0,0,1,0,10
1,0,1000,1,1,1,1,0,0,0,0,10
1,0,1000,10,0,0,0,0,0,0,1,111
1,0,1000,10,0,0,0,0,0,0,0,111
1,1,1000,10,0,0,0,0,0,0,0,111
1,1,1000,10,0,0,0,0,0,1,0,111
1,1,1000,1,1,1,1,0,0,1,1,10
1,1,1000,1,1,1,1,0,0,1,0,10
1,1,1000,1,1,1,1,0,0,0,0,10
1,1,1000,10,0,0,0,0,0,0,1,111
1,1,1000,10,0,0,0,0,0,0,0,111
1,1,1001,10,0,0,0,0,0,0,0,111
1,0,1001,10,0,0,0,0,0,0,0,111
1,0,1001,10,0,0,0,0,0,1,0,111
1,0,1001,1,1,1,1,0,0,1,1,10
1,0,1001,1,1,1,1,0,0,1,0,10
1,0,1001,1,1,1,1,0,0,0,0,10
1,0,1001,10,0,0,0,0,0,0,1,111
1,0,1001,10,0,0,0,0,0,0,0,111
1,1,1001,10,0,0,0,0,0,0,0,111
