time,SMControlTest.s[3:0],SMControlTest.rsshr,SMControlTest.rsload,SMControlTest.rsclear,SMControlTest.n[3:0],SMControlTest.mrld,SMControlTest.mdld,SMControlTest.done,SMControlTest.NUM_BITS,SMControlTest.clk,SMControlTest.errors[7:0],SMControlTest.mr[3:0],SMControlTest.reset_state[3:0],SMControlTest.rst,SMControlTest.start,SMControlTest.multiplier[31:0],SMControlTest.rs[31:0],SMControlTest.st[31:0],SMControlTest.control.clk,SMControlTest.control.done,SMControlTest.control.mdld,SMControlTest.control.mr[3:0],SMControlTest.control.mrld,SMControlTest.control.reset_state[3:0],SMControlTest.control.rsclear,SMControlTest.control.rsload,SMControlTest.control.rsshr,SMControlTest.control.rst,SMControlTest.control.start,SMControlTest.control.n[3:0],SMControlTest.control.s[3:0]
90,0,0,0,0,0,0,0,0,100,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
100,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,1,0,0,0,100,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
210,0,0,0,0,1,0,0,0,100,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
230,0,0,0,0,1,0,0,0,100,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
240,0,0,0,0,1,0,0,0,100,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
260,0,0,0,0,1,0,0,0,100,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
280,1,0,0,1,10,1,1,0,100,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,10,1
290,1,0,0,1,10,1,1,0,100,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,10,1
300,1,0,0,1,10,1,1,0,100,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,10,1
310,1,0,0,1,10,1,1,0,100,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,10,1
330,1,0,0,1,10,1,1,0,100,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,10,1
350,1,0,0,1,10,1,1,0,100,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,10,1
370,0,0,0,0,0,0,0,0,100,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
380,0,0,0,0,0,0,0,0,100,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
400,0,0,0,0,0,0,0,0,100,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0,100,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,100,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,100,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
470,0,0,0,0,1,0,0,0,100,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
490,0,0,0,0,1,0,0,0,100,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0
510,0,0,0,0,1,0,0,0,100,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0
520,0,0,0,0,1,0,0,0,100,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0
540,0,0,0,0,1,0,0,0,100,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
560,1,0,0,1,10,1,1,0,100,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,10,1
570,1,0,0,1,10,1,1,0,100,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,10,1
580,1,0,0,1,10,1,1,0,100,0,0,1,0,0,1,10,0,0,0,0,1,1,1,0,1,0,0,0,1,10,1
590,1,0,0,1,10,1,1,0,100,0,0,10,0,0,1,10,0,0,0,0,1,10,1,0,1,0,0,0,1,10,1
610,1,0,0,1,10,1,1,0,100,0,0,10,0,0,0,10,0,0,0,0,1,10,1,0,1,0,0,0,0,10,1
630,1,0,0,1,10,1,1,0,100,0,0,10,0,1,0,10,0,0,0,0,1,10,1,0,1,0,0,1,0,10,1
650,0,0,0,0,0,0,0,0,100,1,0,10,0,1,0,10,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0
660,0,0,0,0,0,0,0,0,100,0,0,10,0,1,0,10,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0
680,0,0,0,0,0,0,0,0,100,0,0,10,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0,0,0,0,100,1,0,10,0,0,0,10,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0
